date,ville,produit,categorie,quantite,montant_cdf,client_id
2024-01-05,Kinshasa,Moustiquaire,Prevention,12,180000,C001
2024-01-06,Lubumbashi,Test rapide palu,Diagnostic,40,320000,C002
2024-01-08,Kananga,ACT,Traitement,25,275000,C003
2024-01-09,Kinshasa,Gants,Consommable,100,90000,C001
2024-01-12,Goma,Moustiquaire,Prevention,8,120000,C004
2024-01-15,Lubumbashi,ACT,Traitement,30,330000,C002
2024-01-18,Kinshasa,Test rapide palu,Diagnostic,55,440000,C005
2024-01-20,Mbuji-Mayi,Gants,Consommable,60,54000,C006
2024-01-22,Kananga,Moustiquaire,Prevention,15,225000,C003
2024-01-25,Goma,ACT,Traitement,18,198000,C004
2024-02-01,Kinshasa,ACT,Traitement,40,440000,C005
2024-02-03,Lubumbashi,Gants,Consommable,80,72000,C002
2024-02-05,Kinshasa,Moustiquaire,Prevention,20,300000,C001
2024-02-08,Mbuji-Mayi,Test rapide palu,Diagnostic,22,176000,C006
2024-02-10,Goma,Test rapide palu,Diagnostic,35,280000,C004
2024-02-12,Kananga,Gants,Consommable,,45000,C003
2024-02-14,Kinshasa,ACT,Traitement,28,308000,C007
2024-02-16,Lubumbashi,Moustiquaire,Prevention,10,150000,C002
2024-02-18,Kinshasa,Test rapide palu,Diagnostic,60,480000,C005
2024-02-20,Goma,Moustiquaire,Prevention,6,90000,C004
2024-02-22,Mbuji-Mayi,ACT,Traitement,16,176000,C006
2024-02-25,Kananga,Test rapide palu,Diagnostic,18,144000,C003
2024-02-27,Kinshasa,Gants,Consommable,120,108000,C007
2024-03-01,Lubumbashi,ACT,Traitement,35,385000,C002
2024-03-03,Kinshasa,Moustiquaire,Prevention,14,210000,C001
2024-03-05,Goma,ACT,Traitement,22,242000,C004
2024-03-07,Mbuji-Mayi,Moustiquaire,Prevention,9,135000,C006
2024-03-09,Kananga,ACT,Traitement,20,220000,C003
2024-03-11,Kinshasa,Test rapide palu,Diagnostic,48,384000,C005
2024-03-13,Lubumbashi,Test rapide palu,Diagnostic,26,208000,C008
